timestamp,city,aqi,wind_speed,humidity
2025-03-15 17:44:45.911295+0700,Hà Nội,144,20.0 km/h,70%
2025-03-15 18:01:21.994274+0700,Hà Nội,144,20.0 km/h,70%
2025-03-15 19:01:51.081175+0700,Hà Nội,152,26.6 km/h,69%
2025-03-15 20:04:27.071039+0700,Hà Nội,142,30.1 km/h,69%
2025-03-15 21:01:40.806582+0700,Hà Nội,90,30.1 km/h,69%
2025-03-15 22:01:24.930597+0700,Hà Nội,76,25.9 km/h,67%
2025-03-15 23:01:30.307733+0700,Hà Nội,77,22.9 km/h,65%
2025-03-16 00:01:27.251638+0700,Hà Nội,77,22.7 km/h,62%
2025-03-16 01:01:41.592648+0700,Hà Nội,75,24.3 km/h,62%
2025-03-16 03:01:39.320563+0700,Hà Nội,68,24.6 km/h,59%
2025-03-16 04:01:29.993870+0700,Hà Nội,66,22.5 km/h,64%
2025-03-16 05:01:37.529412+0700,Hà Nội,66,22.2 km/h,63%
2025-03-16 06:01:27.967784+0700,Hà Nội,61,24.1 km/h,60%
2025-03-16 07:04:38.194597+0700,Hà Nội,63,22.9 km/h,58%
2025-03-16 08:28:56.778225+0700,Hà Nội,56,20.9 km/h,57%
2025-03-16 09:28:19.852854+0700,Hà Nội,56,21.4 km/h,55%
2025-03-16 10:12:51.987155+0700,Hà Nội,56,23.7 km/h,52%
2025-03-16 11:01:34.199506+0700,Hà Nội,60,23.7 km/h,52%
2025-03-16 12:01:39.679083+0700,Hà Nội,55,22.7 km/h,51%
2025-03-16 13:01:35.395912+0700,Hà Nội,54,21.4 km/h,51%
2025-03-16 14:01:42.438939+0700,Hà Nội,55,20.0 km/h,50%
2025-03-16 15:01:37.885356+0700,Hà Nội,55,21.4 km/h,45%
2025-03-16 16:01:27.656928+0700,Hà Nội,57,19.2 km/h,45%
2025-03-16 17:01:32.495859+0700,Hà Nội,63,18.0 km/h,44%
2025-03-16 18:01:39.801429+0700,Hà Nội,64,17.9 km/h,49%
2025-03-16 19:01:40.973670+0700,Hà Nội,68,13.7 km/h,53%
2025-03-16 20:04:38.746901+0700,Hà Nội,77,10.0 km/h,53%
2025-03-16 21:01:24.206661+0700,Hà Nội,83,10.0 km/h,53%
2025-03-16 22:01:32.449726+0700,Hà Nội,86,10.3 km/h,52%
2025-03-16 23:01:36.793341+0700,Hà Nội,99,9.7 km/h,57%
2025-03-17 00:01:32.178705+0700,Hà Nội,102,8.0 km/h,64%
2025-03-17 01:01:48.747930+0700,Hà Nội,82,7.7 km/h,71%
2025-03-17 02:01:20.333770+0700,Hà Nội,81,5.8 km/h,74%
2025-03-17 03:01:33.894369+0700,Hà Nội,93,5.8 km/h,75%
2025-03-17 04:01:26.233895+0700,Hà Nội,100,4.2 km/h,74%
2025-03-17 06:01:32.564029+0700,Hà Nội,103,3.1 km/h,72%
2025-03-17 07:04:56.471222+0700,Hà Nội,114,6.4 km/h,66%
2025-03-17 08:28:53.825572+0700,Hà Nội,88,8.4 km/h,61%
2025-03-17 09:27:34.600540+0700,Hà Nội,96,10.1 km/h,56%
2025-03-17 10:12:12.395765+0700,Hà Nội,96,10.9 km/h,53%
2025-03-17 11:01:49.030751+0700,Hà Nội,97,10.9 km/h,53%
2025-03-17 12:01:31.829726+0700,Hà Nội,115,11.4 km/h,51%
2025-03-17 13:01:46.496403+0700,Hà Nội,124,10.5 km/h,50%
2025-03-17 14:01:40.678696+0700,Hà Nội,122,7.2 km/h,49%
2025-03-17 15:01:59.327000+0700,Hà Nội,124,4.8 km/h,48%
2025-03-17 16:01:41.666687+0700,Hà Nội,119,4.2 km/h,45%
2025-03-17 17:01:43.876384+0700,Hà Nội,122,3.2 km/h,46%
2025-03-17 18:01:32.268027+0700,Hà Nội,129,5.0 km/h,49%
2025-03-17 19:02:01.991889+0700,Hà Nội,145,5.3 km/h,53%
2025-03-17 20:07:42.079231+0700,Hà Nội,149,10.3 km/h,54%
2025-03-17 21:01:41.168171+0700,Hà Nội,152,10.3 km/h,54%
2025-03-17 22:01:59.101651+0700,Hà Nội,158,9.3 km/h,54%
2025-03-17 23:01:48.016458+0700,Hà Nội,156,8.9 km/h,58%
2025-03-18 00:01:30.568737+0700,Hà Nội,139,7.7 km/h,63%
2025-03-18 01:01:53.732091+0700,Hà Nội,151,6.8 km/h,66%
2025-03-18 02:01:40.412832+0700,Hà Nội,154,6.4 km/h,66%
2025-03-18 03:01:49.985090+0700,Hà Nội,155,7.6 km/h,63%
2025-03-18 04:01:48.375375+0700,Hà Nội,154,12.4 km/h,57%
2025-03-18 05:01:36.546305+0700,Hà Nội,153,18.0 km/h,52%
2025-03-18 06:01:50.744600+0700,Hà Nội,153,19.8 km/h,54%
2025-03-18 07:04:23.998619+0700,Hà Nội,155,18.5 km/h,56%
2025-03-18 08:28:57.291806+0700,Hà Nội,153,17.1 km/h,54%
2025-03-18 09:27:25.781371+0700,Hà Nội,153,17.4 km/h,52%
2025-03-18 10:11:43.111684+0700,Hà Nội,134,17.1 km/h,52%
2025-03-18 11:01:46.802990+0700,Hà Nội,134,17.1 km/h,52%
2025-03-18 12:01:47.765840+0700,Hà Nội,115,19.5 km/h,51%
2025-03-18 13:01:43.045311+0700,Hà Nội,84,19.6 km/h,49%
2025-03-18 14:01:43.494969+0700,Hà Nội,86,19.0 km/h,48%
2025-03-18 15:01:59.724268+0700,Hà Nội,82,18.5 km/h,48%
2025-03-18 17:01:39.660639+0700,Hà Nội,88,14.5 km/h,47%
2025-03-18 18:01:35.754618+0700,Hà Nội,84,11.1 km/h,50%
2025-03-18 19:01:57.360804+0700,Hà Nội,85,9.8 km/h,54%
2025-03-18 20:07:39.100261+0700,Hà Nội,150,9.8 km/h,57%
2025-03-18 21:01:47.482217+0700,Hà Nội,140,9.8 km/h,57%
2025-03-18 22:01:47.846642+0700,Hà Nội,156,9.3 km/h,58%
2025-03-18 23:01:50.800665+0700,Hà Nội,160,10.3 km/h,58%
2025-03-19 00:01:39.570731+0700,Hà Nội,142,10.8 km/h,58%
2025-03-19 01:02:08.455401+0700,Hà Nội,99,11.7 km/h,56%
2025-03-19 02:01:24.863608+0700,Hà Nội,94,12.2 km/h,55%
2025-03-19 03:01:44.665022+0700,Hà Nội,96,11.4 km/h,54%
2025-03-19 04:01:39.656163+0700,Hà Nội,86,10.8 km/h,61%
2025-03-19 05:01:50.643906+0700,Hà Nội,86,10.5 km/h,61%
2025-03-19 06:01:37.875636+0700,Hà Nội,139,9.5 km/h,62%
2025-03-19 07:04:45.106947+0700,Hà Nội,152,9.2 km/h,62%
2025-03-19 08:28:49.829497+0700,Hà Nội,153,9.7 km/h,62%
2025-03-19 09:26:51.163162+0700,Hà Nội,139,9.0 km/h,53%
2025-03-19 10:11:09.118498+0700,Hà Nội,91,15.6 km/h,38%
2025-03-19 11:01:38.269087+0700,Hà Nội,105,15.6 km/h,38%
2025-03-19 12:01:27.498502+0700,Hà Nội,73,16.6 km/h,34%
2025-03-19 13:01:47.287821+0700,Hà Nội,75,16.4 km/h,33%
2025-03-19 14:01:42.329603+0700,Hà Nội,79,17.7 km/h,33%
2025-03-19 15:01:49.463298+0700,Hà Nội,78,15.0 km/h,32%
2025-03-19 16:01:53.458799+0700,Hà Nội,84,13.0 km/h,32%
2025-03-19 17:01:46.863838+0700,Hà Nội,96,11.1 km/h,32%
2025-03-19 18:01:33.437769+0700,Hà Nội,99,10.9 km/h,33%
2025-03-19 19:01:52.959042+0700,Hà Nội,105,9.5 km/h,40%
2025-03-19 20:07:48.611938+0700,Hà Nội,122,10.8 km/h,42%
2025-03-19 21:01:53.832410+0700,Hà Nội,123,10.8 km/h,42%
2025-03-19 22:01:53.407786+0700,Hà Nội,135,10.9 km/h,44%
2025-03-19 23:01:50.970315+0700,Hà Nội,121,9.0 km/h,44%
2025-03-20 00:01:48.870451+0700,Hà Nội,124,7.6 km/h,47%
2025-03-20 01:01:56.177323+0700,Hà Nội,124,9.0 km/h,49%
2025-03-20 02:01:39.673219+0700,Hà Nội,119,9.8 km/h,50%
2025-03-20 04:01:37.981780+0700,Hà Nội,123,10.0 km/h,53%
2025-03-20 05:01:47.917857+0700,Hà Nội,137,10.3 km/h,54%
2025-03-20 06:01:53.375298+0700,Hà Nội,137,10.0 km/h,56%
2025-03-20 07:04:24.970276+0700,Hà Nội,137,10.3 km/h,58%
2025-03-20 08:28:43.870556+0700,Hà Nội,152,12.4 km/h,56%
2025-03-20 09:26:26.343558+0700,Hà Nội,152,12.4 km/h,51%
